businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,workYear,salary,description
,石家庄,石家庄博宇科技股份有限公司,博宇科技,150-500人,2018-08-02 11:08:18,裕华区,本科,移动互联网,[],全职,4944197,1-3年,5k-9k,"职位描述：

一、任职要求
1.具有本一以上学历，统计学、数学或计算机、数理统计或数据挖掘、管理会计、MBA等相关专业毕业，有扎实的数据统计和数据挖掘专业知识优先。
2.熟练使用数理统计、数据分析、数据挖掘工具软件（SAS、R、Python等的一种或多种），能熟练使用SQL读取数据；
3. 使用过 逻辑回归、神经网络、决策树、聚类 等的一种或多种建模方法；
4. 3年以上数据分析工作经验背景人员优先；
5. 具有金融行业项目经验的相关经验者优先考虑；
6. 主动性强，有较强的责任心，积极向上的工作态度，有团队协作精神。
7.可接受短期临时性出差。
二、岗位职责
1.数据挖掘、分析，建设分析模型并优化，运营决策提供数据支持；
2.编写数据分析报告，及时发现和分析其中变化和问题，为业务发展提供决策支持；
3.独立完成项目需求管理、方案设计、实施管理和项目成果质量的把控；
4.参与编写项目相关文档。"
"['""""']",石家庄,北京三快在线科技有限公司,美团点评,2000人以上,2018-08-06 13:16:11,桥西区,本科,"移动互联网,O2O",[],全职,4958083,1-3年,4k-8k,"职位描述：

        岗位职责：
1、通过搜集、实践行业预测话务方法，总结特点，找出算法或流程的可优化空间，建立模型，跟踪评估改进效果。 
2、配合业务部门提供日常数据支持，并针对特定问题进行深入专题分析，编写分析报告，为运营决策及产品方向提供策略建议和数据支撑。 
3、根据业务变化，更新人力招聘计划，跟进招聘进展，统筹整体人力安排计划。
4、和业务、数据、运营等业务线各团队紧密合作，共同达成用户体验的优化目标。

任职要求： 
1、统招本科及以上学历； 
2、3年及以上数据分析相关工作经验，有互联网呼叫中心工作经验优先； 
3、具有良好的逻辑分析能力、沟通推动能力、英语读写沟通能力、团队合作意识； 
4、熟悉统计学基本原理，熟练使用Excel、SQL等工具处理数据； 
5、SPSS、SAS、R、Python等分析工具中至少掌握一种； 
6、熟练使用OFFICE办公软件编写分析报告；
7、数学、统计学、计算机等相关专业优先，有独立项目分析经验者更佳；"
['育才'],石家庄,北京美印创新科技有限公司,美印兔兔,15-50人,2018-08-13 10:06:24,裕华区,本科,"移动互联网,企业服务","['大数据', 'SPSS']",全职,4689389,1-3年,5k-10k,"职位描述：

岗位职责：
1、负责数据整理、挖掘及分析工作，定期出具日、周、月、季、半年、年度数据报告及分析报告；
2、深入了解业务，基于数据监控及分析研究，发现业务运营中的问题，同时能够解构问题、分析问题，给出有效改善的建议，并能输出分析报告；
3、分析用户数据：通过深度挖掘用户的行为数据，帮助公司业务线的发现、分析和解决问题；
4、为公司运营决策、产品方向、策略提供数据支持。
任职要求：
1、本科及以上学历，统计学、经济学、社会学、数学，计算机等相关专业；
2、一年及以上互联网数据分析经验；
3、良好的数据敏感度，能从海量数据提炼核心结果；具有较强逻辑思维能力和优秀的分析能力和数据挖掘能力；
4、熟练使用至少一种统计软件和统计工具，如SPSS、SAS、GoogleAnalyticss、Omniture；
5、了解和熟悉至少一种数据库软件，如：oracle、mysql、sqlserver等；
6、为人诚信正直，高度的责任心，良好的沟通和协调能力；

7、有较强的学习能力，思维敏锐，良好的执行力；

8、性格沉稳，勇于创新，有高度的团队精神、强烈的进取心。"
"['娄葑', '东环路', '葑门']",苏州,智慧芽信息科技（苏州）有限公司,智慧芽,150-500人,2018-08-22 13:39:25,工业园区,本科,移动互联网,[],全职,4948121,1-3年,12k-18k,"职位描述：

岗位职责：
1、 深入了解用户行为，并提供可视化的用户行为数据，给产品团队提供有力的数据支持
2、 减少产品、设计、工程团队之间的沟通成本，做好各条产品线的用户行为跟踪
3、 简历更加高效的产品分析工具集，为未来产品数据分析做出贡献
4、 为技术团队提供数据治疗与数据可用性的咨询
5、 定期的进行用户访谈与用户调研
6、 沟通协调中国与英国团队之间的需求会议
任职要求
1、 统招全日制本科以上学历，统计学、设计管理学优先。
2、 2年以上数据分析工作经验，熟练掌握SQL。
3、 熟悉Amplitude, Growing.io、Google Analytics等主流数据分析工具
4、 有产品运营、需求等分析的项目经验
5、 具备出色的沟通能力，英文可用作工作语言。"
['东渚'],苏州,苏州优圣美智能系统有限公司,Yosemei,15-50人,2018-08-24 12:56:58,高新区,本科,数据服务,"['大数据', '算法', '数据挖掘']",全职,4387670,1-3年,10k-20k,"职位描述：

岗位职责：1、运用数据挖掘/统计学习的理论和方法，深入挖掘和分析海量数据；
2、学习和理解数据的意义；
3、运用分类、聚类各种算法进行挖掘；
4、运用大数据平台对数据进行解析、分析建模，报表展示数据挖掘的价值；
5、有一定的英文交流能力。
任职要求：
1、统计学、数学、计算机等专业本科以上，2年以上相关工作经验；
2、熟悉开发语言（Python、R等）优先。
3、具有BI、海量数据挖掘及分析相关项目经验者优先；
4、具备较强的数据解读能力，逻辑能力，业务沟通能力，强烈的责任感和很好的团队合作精神；5、具备独立分析问题和解决问题的能力；6、具备很强的自学能力，能够承受工作压力；"
"['独墅湖', '独墅湖']",苏州,上海众言网络科技有限公司,问卷网@爱调研,150-500人,2018-08-24 09:43:35,工业园区,本科,移动互联网,[],全职,4409033,1-3年,4k-6k,"职位描述：


有些路 一个人无法走远 总得有人并肩作战 这就是我们需要你的原因
    我们需要你：1、负责制定专项市场调研方案，收集市场信息，分析调研结果，提交调研报告，预测市场动态，拟定应对策略；2、负责收集整理行业及竞争对手信息并有针对性的进行专项调研，随时提供市场分析报告；3、负责对销售部员工培训的前期准备工作或者联络工作。

    我们期待遇见这样的你：1、统计学、社会学、心理学、数学、市场营销等专业本科及以上学历，1至2年工作经验，特别优秀者条件可放宽到应届生；2、了解IT行业、发展趋势等，熟悉网络调研行业优先；3、有较强的市场感知能力，敏锐的把握市场动态、市场方向的能力；4、较好的文字把控能力，至少熟悉一个统计软件（SPSS、SAS、R等）；5、熟练使用OFFICE办公软件；6、具备良好的中英文写作及沟通能力   加分项：有咨询调研、计算机软件、互联网等行业销售经验者优先；
    在这里，你将拥有——    一群让你为之骄傲的小伙伴：    热情坚定、乐于分享、自我驱动、追求极致的高效团队    自由平等的潜力平台：
    福利体系（这只是一部分）：    每周两次零食水果下午茶：随便吃，妈妈再也不用担心你长不胖    生日会：全体伙伴陪你过 不让你孤单    社团：花样运动...... 总有人与你志同道合    学习成长：Mentor带你全方位成长，助你成为专业人才
    欢迎你来发现更多的精彩......"
"['独墅湖', '独墅湖']",苏州,苏州瑞翼信息技术有限公司,瑞翼,150-500人,2018-08-23 09:18:43,吴中区,本科,移动互联网,[],全职,4588456,1-3年,10k-20k,"职位描述：

岗位职责：
1、深入理解业务，对业务营销、开通、对账情况专题分析，月度经营分析与滚动预测；
2、通过数据发现营销、运营上的问题，并推动改进，跟踪执行效果；
3、分析流失用户，建立数据特征模型，反馈运营，精准营销，优化生产，降低成本；
岗位要求：
1、本科学历须211院校以上，硕士及以上学历不限院校，金融、数学、统计、计算机等相关专业，两年以上数据分析工作经验；
2、精通统计学，熟悉常见数据分析算法与模型；
3、精通excel，包括函数、透视表、图表，会VBA优先考虑；
4、精通sql。有sql性能优化能力优先考虑；
5、熟练使用python或R（最好python、对数据清洗、分析， 有ETL经验优先考虑，熟悉spark优先考虑）；
6、至少熟练使用一种常用BI工具（如power bi、fine bi、tableau）；
7、具备出色沟通协调能力。"
,苏州,同程网络科技股份有限公司,同程艺龙,2000人以上,2018-08-14 14:38:29,工业园区,本科,"旅游,电子商务",[],全职,4586305,1-3年,8k-16k,"职位描述：

1.  至少一年数据分析经验（稳定性高且优秀的实习生也可考虑）；
2.  有机票行业/OTA/BAT工作经验的优先考虑；
3.  熟练使用PPT/Word/Excel等常用办公软件，能够独立使用sql提取数据，至少掌握常用分析挖掘软件Spss/Sas/R/Python等至少一款；
4.  有较强的逻辑思维能力，善于沟通表达，对数据分析有浓厚的兴趣。"
,苏州,江苏海豚网络科技有限公司,NEETS,15-50人,2018-08-26 17:39:26,工业园区,大专,"移动互联网,文化娱乐","['视频', '媒体']",全职,4816185,1-3年,6k-12k,"职位描述：

职位描述：
岗位职责： 1.产品运营数据，商务合作数据整理分析； 2.根据运营预期、业务目标提出合理的优化方案； 3.与需求部门沟通，实现其他数据需求； 4.熟悉视频行业者优先。
任职要求： 1.统计、数学相关专业统招大专及以上学历，2年互联网公司相关岗位工作经验； 2.熟练使用Excel等各类办公软件、各类统计分析工具； 3.熟悉SQL语句，能够编写复杂SQL查询语句者优先； 4.良好的数据敏感性及逻辑推理能力； 5.热爱互联网网络媒体行业。"
['东渚'],苏州,昆仑智汇数据科技（北京）有限公司,K2DATA,50-150人,2018-08-22 17:02:56,高新区,本科,数据服务,['大数据'],全职,4450818,不限,15k-30k,"职位描述：

职责描述： 
1. 本岗位负责大数据分析产品的算法的研发、典型分析应用设计以及行业/企业的数据分析项目的实施； 
2. 利用先进的数据分析技术，去解决典型的行业挑战；从行业的大数据分析需求，抽象提升新型数据分析问题和算法；基于大数据基础平台（如Spark/Hadoop)或并行计算环境，实现高效的数据。 
岗位要求 
1. 精通数据挖掘/机器学习算法，有丰富的实践经验；
2. 至少精通一种数据分析软件工具（如SAS, SPSS Modeler, R, Weka等）； 
3. 有一定程序开发经验（Java, C++等）； 
4. 具有清晰的系统思维逻辑，对解决行业实际问题有浓厚兴趣； 
5. 良好的沟通和分析问题与解决问题能力"
